"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
CQ20C-V02D,25,2.3,600,480,50,9,480,5,0.6,2,9,10,1B1
MGPL12B2-V01D,25,4,1200,470,100,9,480,5,0.6,1.5,8,9,1B2
MGPL16B2-V01D,25,4,1200,470,100,9,480,5,0.6,1.5,13,14,1B1
CXS20S3-V01D,25,4,600,480,50,9,480,5,0.6,2,12,13,1B1
MHZ25B-V01B,55,4,1200,490,50,9,480,5,0.6,1.5,14,15,1B1
CQ25T3-V01B,25,5,600,480,100,9,500,5,0.5,1.5,12,13,1B1
CQS16T-V01B,25,1.5,600,480,50,9,480,5,0.6,1.5,14,15,1B1
SY50MP-V05D,50,4,1200,490,50,9,480,5,0.6,1.5,17,16,2B1
CQ16TH-V01D,25,3,600,480,50,9,500,5,0.6,1.5,2,22,1B1
MHQ40B-V01D,25,5,1200,480,100,9,480,5,0.6,1.5,12,13,1B1
MHY16B-V02D,25,1.5,600,480,100,9,480,5,0.6,1.5,13,14,1B1
SY50MP-V03D,50,5,1200,490,50,9,480,5,0.6,1.5,17,12,2B1
CQS25T-V01D,25,4,600,480,100,9,480,5,0.6,1.5,11,12,1B1
SY50MP-V04D,50,5,1200,490,50,9,480,5,0.6,1.5,17,16,2B1
CRQ30B-V02D,35,3.4,1200,500,100,9,500,5,0.6,1.5,13,14,1B1
MSQ10B2-V02D,35,5.5,1200,480,50,9,480,5,0.6,1.5,16,17,1B1
MGPM20B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,8,9,1B1
XLA25BN-V02D,35,8.2,1200,460,50,9,480,5,0.6,1.5,19,20,2B1
CQ40T-V02B,35,4,1200,470,100,9,480,5,0.6,1.5,16,17,1B1
MGPL20B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,8,9,1B1
SY30MP-V04D,25,2,1200,500,0,9,500,5,0.6,1.5,13,14,1B1
SY30MP-V06D,35,2,1200,500,0,9,480,5,0.6,1.5,13,14,1B1
CA20T-V01C,25,2,600,480,50,9,480,5,0.6,1.5,15,16,1B3
CA20T-V01C,25,2,600,480,50,9,480,5,0.6,1.5,15,16,1B3
CA32T-V01C,25,2.5,600,480,50,9,480,5,0.6,1.5,10,11,1B2
CA25T-V01C,25,2,600,480,50,9,480,5,0.6,1.5,12,13,1B2
CA40T-V01C,35,3.5,600,480,50,9,480,5,0.6,1.5,14,15,1B1
SY30MP-V05D,35,2,1200,500,0,9,500,5,0.6,1.5,13,14,1B1
MGPM25B2-V02D,35,5.8,1200,470,100,9,480,5,0.6,1.5,6,7,2B1
CQ63T3-V01C,25,8,1200,480,100,14,480,5,0.2,1.5,10,11,1B2
MGPM12B2-V02D,25,4,1200,480,100,9,480,5,0.6,1.5,6,7,1B2
MGPL16B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,13,14,1B1
MGPM16B2-V02D,25,4,1200,480,50,9,480,5,0.6,1.5,12,13,1B1
LEY63B-V01D,80,4,1200,480,100,12,480,5,0.6,1.5,16,17,1B1
VV10M1-V02B,25,4.7,1200,480,100,9,480,5,0.6,1.5,17,18,1B1
VV10M1-V02B,25,4.7,1200,480,100,9,480,5,0.6,1.5,17,18,1B1
MGPM12B2-V01D,25,4,1200,480,100,9,480,5,0.6,1.5,6,7,1B2
XT686B-V01C,35,6,1200,480,100,14,480,5,0.6,1.5,8,9,2B1
CM20AH-V01D,25,3.7,600,450,100,9,480,5,0.6,1.5,21,20,1B1
CM20AS-V01D,25,3.5,600,470,100,9,480,5,0.6,1.5,14,13,1B1
MHY10B-V02D,25,1.7,600,480,100,9,500,5,0.6,1.5,13,14,1B2
MGPMA0B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,2,3,2B1
MGPLA0B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,4B1
MHZJ25B-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,15,16,1B1
CM25AH-V01D,25,4.5,600,450,100,9,480,5,0.6,1.5,13,1,1B1
CM25AS-V01D,25,6,600,450,100,9,480,5,0.6,1.5,13,1,1B1
CM40AH-V01D,25,5.5,1200,450,100,9,480,5,0.6,1.5,10,3,1B1
CM40AS-V01D,25,6,1200,450,100,9,480,5,0.6,1.5,10,1,1B1
PS50B-V01D,25,4,1200,480,100,9,480,5,0.6,1.5,7,8,1B1
PS20A-V01D,25,2,600,490,0,9,480,5,1.1,2,12,13,1B1
SY30MP-V01D,35,2,1200,500,0,9,500,5,0.6,1.5,13,14,1B1
MSQ70C-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,11,12,1B1
MSUB20B-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,16,17,1B1
MSQ20B2-V02D,35,5.5,1200,490,50,9,480,5,0.6,1.5,16,17,1B1
MGPL12B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,8,9,1B2
PS63B-V01D,25,5.5,1200,480,100,14,480,5,0.6,1.5,16,17,2B1
MSUB7B-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,20,21,1B1
MRH16B2-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,21,22,1B1
MHM50B1-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,21,22,1B1
LEYA0B-V01D,35,4,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MRH16B2-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,21,22,1B1
MYM50S-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,13,14,1B1
MYM63S-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,10,11,1B1
M1BA2T-V01D,35,4,1200,480,100,14,480,5,0.6,1.5,8,9,1B1
MYH40K-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,13,14,1B1
VP500M-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,13,14,1B1
MSQ20B2-V02D,35,5.5,1200,490,0,9,480,5,0.6,1.5,16,17,1B1
CM25AS-V01D,25,5.5,600,460,100,9,480,5,0.6,1.5,13,1,1B1
CM20AH-V01D,25,3,600,470,100,9,480,5,0.6,1.5,21,20,1B1
MSQ70B2-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MSQA0B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,10,11,1B1
MYM50H3-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,1,2,2B1
MGPL25B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,6,7,2B1
VJ10M-V01D,50,3.2,600,480,50,9,480,5,0.6,1.2,22,21,1B1
MYBA0H-V01D,35,4.3,1200,480,100,14,480,5,0.6,1.5,12,13,4B1
MYB50H1-V01D,35,4.2,1200,480,100,14,480,5,0.6,1.5,5,6,3B1
MYB63H1-V01D,35,3.6,1200,480,100,14,480,6,0.6,1.5,2,3,4B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,4,5,3B1
MYB63H1-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,2,3,4B1
MYB63H1-V01D,35,5,1200,480,100,14,480,6,0.6,1.5,2,3,4B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,3,17,18,3B1
MYB63H1-V01D,35,6,1200,480,100,14,480,5,0.6,3,3,4,2B1
MYB50H1-V01D,35,5,1200,480,100,14,480,5,0.6,3,18,19,3B1
