press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401,machine,mfg,productivity,total_time,"time code 300","time code 200"
2024-12-26,0.33,MXQ25B-V02D,P3802801B-M,4.46,2.000,8.92,35,4.17,〇,1,1,1200,9,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.02682,0.33,0.0000,0.0000
2024-12-26,1.32,CQ32T3-V01B-ZZZ,C2Q32A-AD138A30K,2.30985,3.000,6.93,25,2.98,●,30,23,600,9,183,8,175,2024-12-30,2024-12-27,2024-12-27,2024-12-31,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,VN,0.96312,1.32,0.0000,0.0000
2024-12-25,2.30,CP9650T-V02B,C9650ABAC960-30K,2.3463,3.000,7.039,60,7.14,●,8,30,600,9,209,0,209,2024-12-26,2024-12-25,2024-12-26,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.63962,2.30,0.0000,0.0000
2024-12-25,0.70,CXS32S3-V02D,CXS32A-BA025-20K,4.467,2.000,8.934,25,2.98,◎,5,5,1200,9,58,12,46,2024-12-26,2024-12-25,2024-12-26,2025-01-08,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.74022,0.70,0.0000,0.0000
2024-12-25,0.65,MXS16B-V02D,P3800401B-M,2.6,2.000,5.2,60,7.14,◎,17,4,1200,9,87,6,81,2024-12-26,2024-12-25,2024-12-26,2024-12-27,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.69602,0.65,0.0000,0.0000
2024-12-25,0.87,PS63-V01D,S500A61T63X14X20,8.046,2.000,16.092,25,2.98,●,9,6,1200,9,35,0,35,2024-12-26,2024-12-25,2024-12-26,2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.64992,0.87,0.0000,0.0000
2024-12-25,1.00,MGPM32B2-V02D,MGP32A-AC895-30K,8.15,3.000,24.45,25,2.98,●,10,5,1200,12,38,0,38,2024-12-30,2024-12-26,2024-12-30,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai,0.92912,1.00,0.0000,0.0000
2024-12-25,1.40,MSQ30B2-V04D,P6260301-D,5.19,2.070,10.743,35,4.17,●,0,14,1200,9,139,6,133,2024-12-26,2024-12-25,2024-12-26,2025-01-13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.06672,1.40,0.0000,0.0000
2024-12-25,0.67,JA8378,JA8378,1.41,2.775,3.913,25,2.98,〇,7,7,600,9,112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.65732,0.67,0.0000,0.0000
2024-12-25,1.18,CQ32T3-V01B,C2Q32A-AD138A20K,2.30985,2.000,4.62,25,2.98,●,12,21,600,9,250,1,249,2024-12-26,2024-12-25,2024-12-26,2024-12-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.97602,1.18,0.0000,0.0000
2024-12-25,0.45,MGZ63T-V01D,MGZ63AAQ5434-25K,5.937,3.000,17.811,35,4.17,〇,1,1,1200,12,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai,0.03962,0.45,0.0000,0.0000
2024-12-25,1.02,MGPM40B2-V02D,MGP40A-AC896-30K,9.68,3.000,29.04,25,2.98,●,6,6,1200,12,35,0,35,2024-12-26,2024-12-26,2024-12-27,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai,0.99972,1.02,0.0000,0.0000
2024-12-25,0.40,CQ32T3-V01B-ZZZ,C2Q32A-AD138A30K,2.30985,3.000,6.93,25,2.98,●,13,7,600,9,56,0,56,2024-12-27,2024-12-25,2024-12-26,2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.97012,0.40,0.0000,0.0000
2024-12-25,1.97,MGPM25B2-V01D,MGP25A-AC894-30K,6.19,3.000,18.57,35,4.17,●,30,22,1200,9,131,0,131,2024-12-27,2024-12-26,2024-12-26,2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.23702,1.97,0.0000,0.0000
2024-12-25,0.95,MGPM32B2-V01D,MGP32A-AC895-30K,8.15,3.000,24.45,25,2.98,◎,5,5,1200,12,39,0,39,2024-12-27,2024-12-26,2024-12-27,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.00372,0.95,0.0000,0.0000
2024-12-25,1.22,MHY25B-V01D,P3319401-M,4.18,2.000,8.36,35,4.17,●,16,16,1200,9,207,48,159,2024-12-27,2024-12-26,2024-12-27,2024-12-30,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.42232,1.22,0.0000,0.0000
2024-12-25,0.83,CQ50T3-V01B,C2Q50A-AD140A20K,4.15908,2.000,8.318,25,2.98,●,17,11,1200,9,142,0,142,2024-12-26,2024-12-26,2024-12-27,2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.41742,0.83,0.0000,0.0000
2024-12-25,2.72,CQ50T3-V01B-ZZZ,C2Q50A-AD140A30K,4.15908,3.000,12.477,25,2.98,●,21,28,1200,9,252,0,252,2024-12-26,2024-12-26,2024-12-27,2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.15742,2.72,0.0000,0.0000
2024-12-25,1.67,MGPM40B2-V01D,MGP40A-AC896-30K,9.68,3.000,29.04,35,4.17,●,36,14,1200,12,84,0,84,2024-12-30,2024-12-30,2024-12-31,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai,1.46362,1.67,0.0000,0.0000
2024-12-24,0.68,CXS10S3-V02D,CXS10A-R6001-20K,1.12,2.000,2.24,25,2.98,●,6,5,600,9,119,0,119,2024-12-25,2024-12-24,2024-12-25,2024-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.39012,0.68,0.0000,0.0000
2024-12-24,3.33,CQ40C-V01D,S501A61T43X16X30,3.321,3.000,9.963,25,2.98,●,21,21,1200,9,231,4,227,2024-12-25,2024-12-24,2024-12-25,2024-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,Dubai,0.69042,3.33,0.0000,0.0000
2024-12-24,1.30,CM25AH-V01D,C2M025K02-68715B,2.003,3.000,6.009,60,7.14,●,14,18,600,9,161,0,161,2024-12-25,2024-12-25,2024-12-25,2025-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.74422,1.30,0.0000,0.0000
